Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
NAT,Nordic American Tankers Limited,2.03,$288.2M,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nat
JWN,"Nordstrom, Inc.",44.32,$7.42B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/jwn
NSC,Norfolk Souther Corporation,144.38,$39.32B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/nsc
NOA,North American Construction Group Ltd.,8.07,$218.44M,2006,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/noa
NRT,North European Oil Royality Trust,5.65,$51.93M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nrt
NOC,Northrop Grumman Corporation,235.24,$40.84B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/noc
NRE,NorthStar Realty Europe Corp.,14.74,$734.31M,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nre
NWN,Northwest Natural Holding Company,63.09,$1.82B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nwn
NWE,NorthWestern Corporation,61.42,$3.09B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/nwe
NCLH,Norwegian Cruise Line Holdings Ltd.,40.79,$8.97B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh
NVS,Novartis AG,83.35,$192.54B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvs
NVO,Novo Nordisk A/S,44.48,$106.58B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvo
DNOW,NOW Inc.,10.83,$1.17B,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/dnow
NRG,"NRG Energy, Inc.",37.21,$10.79B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nrg
NUS,"Nu Skin Enterprises, Inc.",57.15,$3.17B,1996,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/nus
NUE,Nucor Corporation,51.93,$16.3B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nue
NS,Nustar Energy L.P.,21.15,$2.26B,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/ns
NS^A,Nustar Energy L.P.,19.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^a
NS^B,Nustar Energy L.P.,18,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^b
NS^C,Nustar Energy L.P.,20.9428,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^c
NSS,"NuStar Logistics, L.P.",23.34,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nss
NTR,Nutrien Ltd.,44.75,$27.42B,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/ntr
JMLP,Nuveen All Cap Energy MLP Opportunities Fund,5.14,$69.39M,2014,n/a,n/a,https://www.nasdaq.com/symbol/jmlp
NVG,Nuveen AMT-Free Municipal Credit Income Fund,13.69,$2.77B,2002,n/a,n/a,https://www.nasdaq.com/symbol/nvg
NUV,Nuveen AMT-Free Municipal Value Fund,9.33,$1.93B,1987,n/a,n/a,https://www.nasdaq.com/symbol/nuv
